"partner_name","country","region","total_tests","passed","failed","pass_rate_pct"
"Safaricom","Kenya","MEA","1041","721","320","69.26"
"China Mobile","China","APAC","1054","744","310","70.59"
"Claro Brazil","Brazil","Americas","990","739","251","74.65"
"MTN South Africa","South Africa","MEA","1017","793","224","77.97"
"Telcel Mexico","Mexico","Americas","1006","807","199","80.22"
"Turkcell","Turkey","MEA","1009","843","166","83.55"
"Zain KSA","Saudi Arabia","MEA","984","832","152","84.55"
"Etisalat UAE","UAE","MEA","997","861","136","86.36"
"Telecom Italia","Italy","Europe","1008","893","115","88.59"
"Optus","Australia","APAC","1009","907","102","89.89"
"Jio India","India","APAC","1031","951","80","92.24"
"T-Mobile USA","USA","Americas","1012","948","64","93.68"
"SingTel","Singapore","APAC","1023","962","61","94.04"
"Vodafone UK","United Kingdom","Europe","1008","948","60","94.05"
"AT&T","USA","Americas","1022","975","47","95.40"
"SK Telecom","South Korea","APAC","1002","956","46","95.41"
"Orange France","France","Europe","1026","982","44","95.71"
"Telenor Norway","Norway","Europe","1002","972","30","97.01"
"NTT Docomo","Japan","APAC","1033","1019","14","98.64"
"Deutsche Telekom","Germany","Europe","979","967","12","98.77"
